codigo,codigo_barras,clave,descripcion,marca,categoria
56027,,FRA-1R,"Franela roja de algodón de 1 m, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
56026,,FRA-1G,"Franela gris de algodón de 1 m, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57010,,CELI-10,"Cepillo tipo escobeta de plástico, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
57009,,CELI-45,"Cepillo tipo italiano de plástico, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
56028,,FRA-1B,"Franela blanca de algodón de 1 m, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57102,,JER-25GP,"Rollo de 25 m de jerga plana gris, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
56037,,BODE-4,"Bomba destapacaños para lavabo, 10 cm,KLINTEK",KLINTEK,Artículos de limpieza para WC
57022,,MECH-175S,"Trapeador de microfibra tipo toalla, bastón 120 cm, KLINTEK",KLINTEK,"Artículos de limpieza / Jaladores, trapeadores, cubeta y letrero"
57047,,MECH-175SE,"Trapeador de microfibra española, bastón de 120 cm, KLINTEK",KLINTEK,"Artículos de limpieza / Jaladores, trapeadores, cubeta y letrero"
57003,,FRA-50G,"Rollo de 50 m de franela gris de algodón, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57075,,MECH-185S,"Trapeador de microfibra lisa, bastón de 120 cm, KLINTEK",KLINTEK,"Artículos de limpieza / Jaladores, trapeadores, cubeta y letrero"
57070,,AMU-24,"Aceite rojo para muebles, 240 ml, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57071,,AMU-48,"Aceite rojo para muebles, 480 ml, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57002,,FRA-50R,"Rollo de 50 m de franela roja de algodón, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
55982,,MG-ES-48,"Bastón de madera de 48"" para escobas de limpieza, KLINTEK",KLINTEK,"Artículos de limpieza / Escobas, cepillos, atomizadores, recogedores y lazos"
57004,,FRA-50B,"Rollo de 50 m de franela blanca de algodón, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57057,,JER-25R,"Rollo de 25 m de jerga sarga gruesa roja, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57095,,EA-52,"Líquido protector de vinil, 960 ml, KLINTEK",KLINTEK,Artículos de limpieza para WC
57058,,JER-25A,"Rollo de 25 m de jerga sarga gruesa azul, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57094,,EA-51,"Líquido protector de vinil, 240 ml, KLINTEK",KLINTEK,Artículos de limpieza para WC
57103,,JER-1R,"Jerga roja sarga gruesa de 1 m x 48 cm, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57104,,JER-1A,"Jerga azul sarga gruesa de 1 m x 48 cm, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57090,,EA-33,"Cera líquida acrílica para auto, 473 ml, KLINTEK",KLINTEK,Artículos de limpieza para WC
57088,,EA-31,"Cera líquida de silicón para auto, 473 ml, KLINTEK",KLINTEK,Artículos de limpieza para WC
56021,,FRA-25G,"Rollo de 25 m de franela gris de algodón, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57084,,EA-10,"Shampoo para auto, 473 ml, KLINTEK",KLINTEK,Artículos de limpieza para WC
56022,,FRA-25R,"Rollo de 25 m de franela roja de algodón, KLINTEK",KLINTEK,"Artículos de limpieza / Estopas, toallas de microfibra, aceites para madera, franelas y jergas"
57087,,EA-23,"Polish líquido para auto, 473 ml, KLINTEK",KLINTEK,Artículos de limpieza para WC
56153,,EA-10H,"Shampoo alta espuma para hidrolavadora, 1 L, KLINTEK",KLINTEK,Artículos de limpieza para WC
